,Jakov ben Jirmijó,8175,Balatonfûzfõ,Holló utca 114,+36-66-111946,
,Sváb Károly,8175,Balatonfûzfõ,Önkéntes utca 69,+36-68-686126,
,Neuschloss Tivadar,8175,Balatonfûzfõ,Anker köz 15,+36-69-485385,
,Áldor Adolf,8175,Balatonfûzfõ,Astoria 85,+36-70-244658,
,Neustadt Adolf,8172,Balatonkenese,Anna utca 92,+36-72-791171,
,Szabó Ármin,8172,Balatonkenese,Õr utca 70,+36-73-706965,
,Erõs Vilmos,8172,Balatonkenese,Nagy Lajos király útja 73,+36-74-517353,
,Jámbor Ferenc,8172,Balatonkenese,Homok utca 34,+36-75-630225,
,Alexander Lajos,8172,Balatonkenese,Akácfa utca 120,+36-76-572932,
,Alexandersohn Jonathán,8638,Balatonlelle,Akadémia utca 44,+36-77-599641,
,Niedermann Mór,8638,Balatonlelle,Apáczai Csere János utca 38,+36-78-512965,
,Jankai Deutsch Tibor,8638,Balatonlelle,Honvéd utca 25,+36-79-432925,
,Eskelesz Iszachar Berus,8638,Balatonlelle,Nagy Templom utca 61,+36-80-635223,
,Szabó Ernõ,8638,Balatonlelle,Örs vezér tere 4,+36-82-520055,
,Nobel József,4233,Balkány,Akadémia utca 44,+36-83-678433,
,Járay Sándor,4233,Balkány,Horánszky utca 113,+36-84-778936,
,Alföldi Béla,4233,Balkány,Asztalos Sándor út 74,+36-85-188072,
,Eulenberg Salamon,4233,Balkány,Nagykörút 121,+36-87-599700,
,Szana Zsigmond,4233,Balkány,Ötpacsirta utca 21,+36-88-490561,
,Szántó Armand,4060,Balmazújváros,Ötvenhatosok tere 83,+36-89-128538,
,Alkalai Juda ben Salomo,4060,Balmazújváros,Attila út 66,+36-90-178332,
,Jehuda ben Kohén,4060,Balmazújváros,Horváth Mihály tér 76,+36-91-496268,
,Nobl József,4060,Balmazújváros,Alföldi utca 97,+36-92-765392,
,Faragó Gyula,4060,Balmazújváros,Nagymezõ utca 14,+36-93-385050,
,Szántó Eleázár,7570,Barcs,Pál utca 40,+36-94-645322,
,Jehuda ben Léb,7570,Barcs,Hõs utca 100,+36-95-573489,
,Faragó Miklós,7570,Barcs,Nagysándor József utca 114,+36-96-417796,
,Oesterreicher Béla,7570,Barcs,Alkotás utca 75,+36-99-827232,
,Alpár Sándor,7570,Barcs,Aulich utca 38,+36-20-122882,
,Szántó Zsigmond,7140,Bátaszék,Pasaréti út 100,+36-21-672940,
,Altai Rezsõ,7140,Bátaszék,Auróra utca 8,+36-22-556778,
,Jeitteles Lipót,7140,Bátaszék,Hõsök tere 138,+36-23-788859,
,Faragó Rezsõ,7140,Bátaszék,Nagyvárad tér 9,+36-24-101794,
,Oesterreicher Samu,7140,Bátaszék,Alkotmány utca 40,+36-25-754498,
,Joáb ,3070,Bátonyterenye,Hõsök tere 3,+36-26-166094,
,Altenkunstadt Jaakov,3070,Bátonyterenye,BAH-csomópont 98,+36-27-417856,
,Ofner József,3070,Bátonyterenye,Almássy tér 33,+36-28-374865,
,Farkas Ignác,3070,Bátonyterenye,Alkotmány utca 40,+36-29-117482,
,Szász Pál,3070,Bátonyterenye,Paulay Ede utca 65,+36-30-142052,
,Oppenheim Juda Léb,5830,Battonya,Almássy utca 76,+36-31-818786,
,Altmann Juda  ,5830,Battonya,Alföldi utca 97,+36-32-791394,
,Farkas István,5830,Battonya,Nap utca 5,+36-33-661145,
,Joachim Vilmos,5830,Battonya,Hubay Jenõ tér 131,+36-34-369605,
,Farkas József,5630,Békés,Nefelejcs utca 122,+36-35-612723,
,Oppenheim Simon ben David,5630,Békés,Alpár utca 115,+36-36-639784,
,Jobbágy Jenõ,5630,Békés,Hungária körgyûrû 5,+36-37-232071,
,Székely Béla,5630,Békés,Pestújhelyi út 37,+36-40-105168,
,Amar Licco,5630,Békés,Babits Mihály sétány 27,+36-42-288723,
,Ambrus Balázs,5600,Békéscsaba,Bacsó Béla utca 93,+36-44-696258,
,Székely Ignác,5600,Békéscsaba,Peterdy utca 90,+36-45-583142,
,Oppenheim Hirsch Dávid,5600,Békéscsaba,Alsó erdõsor utca 131,+36-46-425764,
,Jónás Zsigmond,5600,Békéscsaba,Huszár utca 97,+36-47-156619,
,Farkas László,5600,Békéscsaba,Nyugati tér 78,+36-48-776113,
,Ámsel Jicchok,3346,Bélapátfalva,Bajcsy-Zsilinszky köz 121,+36-49-304573,
,Osztern Lipót,3346,Bélapátfalva,Amerikai út 12,+36-50-283511,
,Székely István,3346,Bélapátfalva,Péterfy Sándor utca 129,+36-51-821747,
,Farkas Mózes,3346,Bélapátfalva,Almássy utca 76,+36-52-683885,
,Jordán Sándor,3346,Bélapátfalva,Hutyra Ferenc utca 108,+36-53-372147,
,Székely Nándor,9343,Beled,Pethõ Sándor utca 79,+36-54-705666,
,Angyal Anna,9343,Beled,Bajcsy-Zsilinszky út 79,+36-55-783136,
,Ottenberg Tivadar,9343,Beled,Angol utca 78,+36-56-484599,
,Farkas Ödön,9343,Beled,Anker köz 15,+36-57-568962,
,Joseffy Vilmos,9343,Beled,Hûvösvölgyi út 139,+36-59-165754,
,Antal József,4100,Berettyóújfalu,Alkotás utca 75,+36-60-552486,
,Joszéf Selomo Zalman ,4100,Berettyóújfalu,Ida utca 114,+36-61-676435,
,Székely-Kovács Olga,4100,Berettyóújfalu,Petõfi Sándor utca 7,+36-62-328017,
,Õszi Kornél,4100,Berettyóújfalu,Anker köz 15,+36-63-215404,
,Farkasházi Miklós,4100,Berettyóújfalu,Nyár utca 54,+36-66-400399,
,Ötvös Leó,8181,Berhida,Anna utca 92,+36-68-738375,
,Ányos László,8181,Berhida,Bajnok utca 37,+36-69-722747,
,Szemere Lenke,8181,Berhida,Piarista utca 59,+36-70-695321,
,Juhász Mór,8181,Berhida,II. János Pál pápa tér 26,+36-72-250303,
,Farkasházi-Fischer Vilmos,8181,Berhida,Nádor utca 62,+36-73-350628,
,Arányi Ignác,5071,Besenyszög,Bajza utca 48,+36-74-227802,
,P. Jicchok Zekl Halévi,5071,Besenyszög,Apáczai Csere János utca 38,+36-75-327412,
,Jules Juda Léb,5071,Besenyszög,Ilka utca 51,+36-76-798081,
,Fassel Hirsch,5071,Besenyszög,Német utca 25,+36-77-309473,
,Szemere Miklós,5071,Besenyszög,Podmaniczky Frigyes tér 104,+36-78-534715,
,Fazekas István,2051,Biatorbágy,Németh László utca 46,+36-79-256747,
,Szemnitz Juda Árje,2051,Biatorbágy,Podmaniczky utca 21,+36-80-499622,
,Junger Mózes,2051,Biatorbágy,Illés utca 108,+36-82-674129,
,Aranyosi Miksa,2051,Biatorbágy,Alkotmány utca 40,+36-83-891297,
,Pap Béla,2051,Biatorbágy,Apáthy István utca 18,+36-84-538801,
,Szenes András,2060,Bicske,Pollack Mihály tér 24,+36-85-858227,
,Pap Géza,2060,Bicske,Aradi utca 114,+36-87-715047,
,Jungreisz Áser,2060,Bicske,Irhás árok 104,+36-88-868258,
,Fehér Lipót,2060,Bicske,Népszínház utca 121,+36-89-210612,
,Arató Erzsi,2060,Bicske,Bakáts tér 87,+36-90-533324,
,Pap Illés,4110,Biharkeresztes,Arany János utca 29,+36-91-178163,
,Szenes Árpád,4110,Biharkeresztes,Pozsonyi út 100,+36-92-411012,
,Fehér Márton,4110,Biharkeresztes,Oktogon 10,+36-93-151959,
,Jungreisz Mózes,4110,Biharkeresztes,István utca 74,+36-94-898122,
,Arje Juda Léb,4110,Biharkeresztes,Balassa utca 134,+36-95-636804,
,Fehér Ödön,8053,Bodajk,Október 6. utca 82,+36-96-131891,
,Pap-Rosenberg Lajos,8053,Bodajk,Aranykéz utca 52,+36-99-216897,
,Jungreisz Mózes Nátán,8053,Bodajk,Izabella utca 119,+36-20-203039,
,Ármin József,8053,Bodajk,Balassi Bálint utca 102,+36-21-704280,
,Szenici Juda Árje,8053,Bodajk,Práter utca 14,+36-22-122678,
,Partos Sámuel,7754,Bóly,Árpád fejedelem útja 1,+36-23-524093,
,Jungreisz Sámuel Dávid,7754,Bóly,Izsó utca 131,+36-24-100701,
,Fehér Sándor,7754,Bóly,Olof Palme sétány 130,+36-25-800338,
,Szepessi  Miksáné,7754,Bóly,Puskin utca 54,+36-26-480026,
,Arnau Károly,7754,Bóly,Balaton utca 98,+36-27-888202,
,Szepessi Miksa,7150,Bonyhád,Ráday utca 40,+36-28-641509,
,Pásztor Béla,7150,Bonyhád,Árpád út 136,+36-29-410854,
,Feitel Mór,7150,Bonyhád,Orczy tér 119,+36-30-234196,
,Assael Károly,7150,Bonyhád,Bank utca 26,+36-31-130603,
,Justus Jakab,7150,Bonyhád,Jászai Mari tér 20,+36-32-880402,
,Fejér Gyula,3671,Borsodnádasd,Orczy út 140,+36-33-698741,
,Patai Edit,3671,Borsodnádasd,Asbóth utca 51,+36-34-199003,
,Szeszlér Sándor,3671,Borsodnádasd,Rákóczi tér 114,+36-35-340903,
,Kabos Ármin,3671,Borsodnádasd,Jávor utca 110,+36-36-192056,
,Aszód Áron Sámuel,3671,Borsodnádasd,Barcsay utca 14,+36-37-512521,
,Szidon Adolf,2011,Budakalász,Reformátorok tere 129,+36-40-444048,
,Aszód Juda,2011,Budakalász,Baross tér 96,+36-42-681251,
,Pataki Bernát,2011,Budakalász,Astoria 85,+36-44-156932,
,Fejér Lajos,2011,Budakalász,Országház utca 57,+36-45-421431,
,Kabos Bertalan,2011,Budakalász,Jázmin utca 11,+36-46-468411,
,Aszódi Zoltán,2092,Budakeszi,Almássy tér 33,+36-47-223546,
,Szidon Dezsõ,2092,Budakeszi,Régi Fóti út 70,+36-48-618990,
,Paulayné Adorján Berta,2092,Budakeszi,Asztalos Sándor út 74,+36-49-517232,
,Kaczander Gyula,2092,Budakeszi,Jobbágy utca 75,+36-50-723081,
,Fejér László,2092,Budakeszi,Osvát utca 51,+36-51-111295,
,Kácser Romulus,2040,Budaörs,Jókai tér 138,+36-52-714953,
,Auerbach Gyula,2040,Budaörs,Baross utca 126,+36-53-519237,
,Fejér Sándor,2040,Budaörs,Osztály utca 55,+36-54-639874,
,Szidon Simon,2040,Budaörs,Reguly Antal utca 102,+36-55-342635,
,Pécsi Albert,2040,Budaörs,Attila út 66,+36-56-247782,
,Szigeti Jenõ,1000,Budapest,Rejtõ Jenõ utca 58,+36-1-5397038,
,Fejérváry Frigyes,1000,Budapest,Pasaréti út 100,+36-1-6225081,
,Pécsi Dániel,1000,Budapest,Aulich utca 38,+36-1-5119180,
,Ausch Jenõ,1000,Budapest,Bartók Béla út 13,+36-1-8931071,
,Kadelburg Henrik,1000,Budapest,Jókai utca 72,+36-1-1559846,
,Auspitz Adolf,9737,Bük,Barát utca 16,+36-63-343313,
,Kahán Chaim Arje,9737,Bük,Jósika utca 118,+36-66-297297,
,Pécskai Lajos,9737,Bük,Auróra utca 8,+36-68-397178,
,Szilas Izidor,9737,Bük,Révay köz 22,+36-69-361057,
,Fekete Soma,9737,Bük,Paulay Ede utca 65,+36-70-540130,
,Kahán Juda léb,2700,Cegléd,József Attila utca 63,+36-72-383068,
,Szinaj Isachar Ber,2700,Cegléd,Révay utca 50,+36-73-469981,
,Auspitz Jakab,2700,Cegléd,Batsányi utca 28,+36-74-611033,
,Fekete Tivadar,2700,Cegléd,Pesti út 100,+36-75-330557,
,Péner Miklós,2700,Cegléd,Babits Mihály sétány 27,+36-76-660717,
,Auspitzer Siegfried,9500,Celldömölk,Batthyány tér 23,+36-77-654750,
,Perényi Adolf,9500,Celldömölk,Bacsó Béla utca 93,+36-78-143834,
,Szívós Zsigmond,9500,Celldömölk,Reviczky Gyula utca 45,+36-79-851839,
,Kahán Nison,9500,Celldömölk,József nádor tér 100,+36-80-301334,
,Felbermann Henry,9500,Celldömölk,Pestújhelyi út 37,+36-82-385106,
,Kain Albert,3973,Cigánd,József utca 96,+36-83-588092,
,Péri László,3973,Cigánd,BAH-csomópont 98,+36-84-889407,
,Austerlitz Mayer,3973,Cigánd,Batthyány utca 31,+36-85-450120,
,Feldmann Artúr,3973,Cigánd,Peterdy utca 90,+36-87-208247,
,Szófér Ábrahám Sámuel,3973,Cigánd,Rigó utca 33,+36-88-227905,
,Szófér Akiba,8083,Csákvár,Rippl-Rónai utca 128,+36-89-308512,
,Kain Dávid,8083,Csákvár,Kacsóh Pongrác út 106,+36-90-438954,
,Perles Brauch Aser,8083,Csákvár,Bajcsy-Zsilinszky köz 121,+36-91-330054,
,Austerlitz Sámuel,8083,Csákvár,Bauer Sándor utca 90,+36-92-626808,
,Feldmann József,8083,Csákvár,Pethõ Sándor utca 79,+36-93-865818,
,Szófér Bernát,6913,Csanádpalota,Róna utca 68,+36-94-865675,
,Perls Ármin,6913,Csanádpalota,Bajcsy-Zsilinszky út 79,+36-95-875149,
,Feldmann Mózes,6913,Csanádpalota,Petõfi Sándor utca 7,+36-96-136673,
,Kaiser Alois,6913,Csanádpalota,Kádár utca 140,+36-99-461117,
,Austerlitz Tivadar,6913,Csanádpalota,Belgrád rakpart 77,+36-20-169064,
,Feldmann Sámuel,4765,Csenger,Piarista utca 59,+36-21-138977,
,Perls Izsák Mózes,4765,Csenger,Bajnok utca 37,+36-22-523584,
,Szófér Chaim ben Mordechai Efraim Fischl,4765,Csenger,Rottenbiller utca 124,+36-23-546529,
,Austerlitz Vilmos,4765,Csenger,Benczúr köz 141,+36-24-557681,
,Kallós Bertalan,4765,Csenger,Káldy Gyula utca 87,+36-25-599400,
,Perls Méir,9735,Csepreg,Bajza utca 48,+36-26-742012,
,Szófér Efrám,9735,Csepreg,Rozgonyi utca 92,+36-27-553502,
,Kallus Lajosné,9735,Csepreg,Kálmán Imre utca 3,+36-28-631049,
,Feldmann Sándor,9735,Csepreg,Podmaniczky Frigyes tér 104,+36-29-825492,
,Auszlander Antónia,9735,Csepreg,Benczúr utca 4,+36-30-112995,
,Kálmán Henrik,6640,Csongrád,Kálvária tér 17,+36-31-279299,
,Péter Mária,6640,Csongrád,Bakáts tér 87,+36-32-461649,
,Feleki Mór,6640,Csongrád,Podmaniczky utca 21,+36-33-797758,
,Avigdor Mordechai,6640,Csongrád,Benyovszky Móric utca 31,+36-34-706344,
,Szófér Eliézer,6640,Csongrád,Rózsa utca 4,+36-35-313882,
,Fellner Dénes Pál,9300,Csorna,Pollack Mihály tér 24,+36-36-890636,
,Szófér Jiszrael Efraim Fisel,9300,Csorna,Rózsák tere 104,+36-37-354259,
,Petri Arthur,9300,Csorna,Balassa utca 134,+36-40-605760,
,Bachmann Jakab,9300,Csorna,Berzsenyi utca 121,+36-42-105742,
,Kálmán József,9300,Csorna,Kálvária utca 21,+36-44-346616,
,Szófér Mózes,5920,Csorvás,Rökk Szilárd utca 43,+36-45-332274,
,Pfeiffer Gergely Boriska,5920,Csorvás,Balassi Bálint utca 102,+36-46-601433,
,Kálmán Miksa,5920,Csorvás,Kálvin tér 118,+36-47-112063,
,Bachruch Károly,5920,Csorvás,Bethlen Gábor tér 48,+36-48-221069,
,Fellner Joél,5920,Csorvás,Pozsonyi út 100,+36-49-740909,
,Bak Henrik,8840,Csurgó,Bethlen Gábor utca 79,+36-50-116420,
,Fényes Gyula,8840,Csurgó,Práter utca 14,+36-51-487162,
,Pillitz Dániel,8840,Csurgó,Balaton utca 98,+36-52-892262,
,Kálmán Ödön,8840,Csurgó,Karácsony Sándor utca 59,+36-53-883391,
,Szófér Naftali,8840,Csurgó,Rumbach Sebestyén utca 108,+36-54-472042,
,Kalmár József,2370,Dabas,Karinthy Frigyes út 103,+36-55-190107,
,Szófér Simon,2370,Dabas,Sajó utca 90,+36-56-823167,
,Fenyves Gábor,2370,Dabas,Puskin utca 54,+36-57-580533,
,Pintér Ignác,2370,Dabas,Bank utca 26,+36-59-142921,
,Bak Hirs,2370,Dabas,Bezerédj utca 115,+36-60-392089,
,Ferenczi Károly,4000,Debrecen,Pál utca 40,+36-61-126610,
,Bak Ignác Vilmos,4000,Debrecen,Bihari János utca 13,+36-62-308655,
,Kandel Sámuel,4000,Debrecen,Kármán utca 98,+36-63-343340,
,Pintér Oszkár,4000,Debrecen,Barát utca 16,+36-66-878771,
,Szold Benjamin,4000,Debrecen,Salétrom utca 82,+36-68-579924,
,Bak Izrael,4516,Demecser,Blaha Lujza tér 11,+36-69-484237,
,Plant Feivl,4516,Demecser,Barcsay utca 14,+36-70-171112,
,Szöllõs Gyula,4516,Demecser,Salgótarjáni utca 56,+36-72-556111,
,Ferkai Jenõ,4516,Demecser,Péterfy Sándor utca 129,+36-73-212897,
,Kanitz Dezsõ,4516,Demecser,Kazinczy utca 70,+36-74-278262,
,Ferraris Artur,4130,Derecske,Reformátorok tere 129,+36-75-233350,
,Kanitzer Hiller,4130,Derecske,Kenyérmezõ utca 106,+36-76-377670,
,Bakonyi László,4130,Derecske,Almássy utca 76,+36-77-374746,
,Pogány Béla,4130,Derecske,Baross tér 96,+36-78-757104,
,Szõnyi Géza,4130,Derecske,Sárkány utca 14,+36-79-192776,
,Balassa Benõ,5510,Dévaványa,Bláthy Ottó utca 82,+36-80-595669,
,Kanizsai Dezsõ,5510,Dévaványa,Kerepesi út 120,+36-82-853463,
,Pogány László,5510,Dévaványa,Baross utca 126,+36-83-796068,
,Talmit Selomó Léb,5510,Dévaványa,Sas utca 108,+36-84-805417,
,Feuchtwang Méir,5510,Dévaványa,Reguly Antal utca 102,+36-85-644961,
,Finaly Zsigmond,8460,Devecser,Rejtõ Jenõ utca 58,+36-87-577418,
,Tamás Sári,8460,Devecser,Scheiber Sándor utca 116,+36-88-786590,
,Bálint Arthur,8460,Devecser,Boráros tér 7,+36-89-384986,
,Kann Henrik,8460,Devecser,Kereszt tér 38,+36-90-721204,
,Pogány Margit,8460,Devecser,Bartók Béla út 13,+36-91-733605,
,Kappel Izidor,2049,Diósd,Kertész utca 103,+36-92-158531,
,Fisch Géza,2049,Diósd,Reviczky Gyula utca 45,+36-93-856169,
,Bálint Sándor,2049,Diósd,Bosnyák tér 120,+36-94-650985,
,Polgár Izsó,2049,Diósd,Bástya sétány 132,+36-95-345122,
,Tannenbaum Ábrahám,2049,Diósd,Síp utca 118,+36-96-305371,
,Balkányi S Mihály,7200,Dombóvár,Bosnyák utca 90,+36-99-383469,
,Fisch Ignác,7200,Dombóvár,Rigó utca 33,+36-20-168589,
,Karczag Vilmos,7200,Dombóvár,Késmárk utca 43,+36-21-339270,
,Pollák Chaim,7200,Dombóvár,Báthory utca 133,+36-22-325152,
,Tannenbaum Jakab,7200,Dombóvár,Somogyi Béla utca 95,+36-23-245425,
,Pollák Gyõzõ,4492,Dombrád,Batsányi utca 28,+36-24-894780,
,Karczag Zoltán,4492,Dombrád,Kéthly Anna tér 40,+36-25-830172,
,Balla Böske,4492,Dombrád,Bródy Sándor utca 54,+36-26-804281,
,Tanzer Áron,4492,Dombrád,Sport utca 91,+36-27-398792,
,Fischer A. Mór,4492,Dombrád,Rippl-Rónai utca 128,+36-28-191182,
,Pollák Henrik,2510,Dorog,Batthyány tér 23,+36-29-388273,
,Balla Frigyes,2510,Dorog,Budakeszi út 87,+36-30-461406,
,Tardos-Tauszig Ármin,2510,Dorog,Stáhly utca 52,+36-31-399216,
,Fischer Árpád,2510,Dorog,Rottenbiller utca 124,+36-32-401210,
,Kardava Irohin,2510,Dorog,Kinizsi utca 10,+36-33-526095,
,Ballagi Ernõ,7020,Dunaföldvár,Budaörsi út 35,+36-34-834574,
,Kardos Géza,7020,Dunaföldvár,Király utca 71,+36-35-443221,
